,playerID,yearID,G,R,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP,pos,avg
17606,corajo01,1991,100,37,2,3,0,18.0,11.0,6.0,20,21.0,0.0,5.0,8.0,3.0,1.0,2B,0.2412280701754386
17607,corajo01,1992,68,27,7,1,0,9.0,10.0,3.0,22,13.0,1.0,4.0,2.0,3.0,2.0,2B,0.2459016393442623
17608,corajo01,1993,153,95,15,13,2,51.0,20.0,8.0,67,63.0,0.0,9.0,19.0,4.0,14.0,2B,0.26770293609671847
17609,corajo01,1994,90,55,13,4,2,30.0,8.0,4.0,38,32.0,0.0,2.0,11.0,5.0,8.0,2B,0.27564102564102566
17610,corajo01,1995,120,64,19,2,3,39.0,18.0,7.0,37,31.0,0.0,6.0,13.0,4.0,8.0,2B,0.297423887587822
17611,corajo01,1996,144,90,37,6,6,45.0,5.0,5.0,35,32.0,1.0,7.0,6.0,5.0,9.0,2B,0.29056603773584905
17680,corcoto01,1890,126,81,14,13,1,63.0,44.0,0.0,39,45.0,0.0,2.0,0.0,0.0,0.0,SS,0.23300970873786409
17681,corcoto01,1891,133,84,11,15,7,71.0,30.0,0.0,29,56.0,0.0,10.0,0.0,0.0,0.0,SS,0.25440313111545987
17682,corcoto01,1892,151,77,11,6,1,74.0,39.0,0.0,34,51.0,0.0,4.0,0.0,0.0,0.0,SS,0.2365415986949429
17683,corcoto01,1893,115,61,11,10,2,58.0,14.0,0.0,27,12.0,0.0,2.0,0.0,0.0,0.0,SS,0.27450980392156865
17684,corcoto01,1894,129,123,21,20,5,92.0,33.0,0.0,25,17.0,0.0,0.0,10.0,0.0,0.0,SS,0.3003472222222222
17685,corcoto01,1895,128,83,17,10,2,69.0,17.0,0.0,23,11.0,0.0,3.0,17.0,0.0,0.0,SS,0.26851851851851855
17686,corcoto01,1896,132,63,15,7,3,73.0,16.0,0.0,15,13.0,0.0,1.0,12.0,0.0,0.0,SS,0.2894736842105263
17720,cordewi01,1992,45,17,4,1,2,8.0,0.0,0.0,9,31.0,0.0,1.0,1.0,0.0,3.0,OF,0.30158730158730157
17721,cordewi01,1993,138,56,32,2,10,58.0,12.0,3.0,34,60.0,8.0,7.0,4.0,1.0,12.0,OF,0.24842105263157896
17722,cordewi01,1994,110,65,30,3,15,63.0,16.0,3.0,41,62.0,3.0,6.0,2.0,3.0,8.0,OF,0.29397590361445786
17723,cordewi01,1995,131,64,35,2,10,49.0,9.0,5.0,36,88.0,4.0,9.0,1.0,4.0,11.0,OF,0.28599221789883267
17724,cordewi01,1996,59,29,14,0,3,37.0,2.0,1.0,11,31.0,4.0,2.0,1.0,1.0,8.0,OF,0.2878787878787879
17725,cordewi01,1997,140,82,26,3,18,72.0,1.0,3.0,31,122.0,7.0,4.0,0.0,4.0,11.0,OF,0.2807017543859649
17726,cordewi01,1998,96,58,18,2,13,49.0,2.0,1.0,22,66.0,0.0,3.0,1.0,4.0,7.0,OF,0.2668621700879765
17742,cordoma01,1995,137,81,27,4,24,84.0,20.0,7.0,52,111.0,1.0,10.0,0.0,5.0,10.0,OF,0.27734375
17743,cordoma01,1996,145,97,46,1,16,111.0,11.0,5.0,53,96.0,4.0,8.0,0.0,9.0,18.0,OF,0.3093145869947276
17744,cordoma01,1997,103,44,18,4,15,51.0,5.0,3.0,30,92.0,2.0,3.0,0.0,2.0,13.0,OF,0.24603174603174602
17745,cordoma01,1998,119,52,20,2,10,69.0,3.0,6.0,50,103.0,3.0,5.0,0.0,6.0,14.0,OF,0.2534246575342466
17746,cordoma01,1999,124,62,28,3,14,70.0,13.0,4.0,48,96.0,2.0,9.0,0.0,6.0,22.0,OF,0.2847058823529412
17747,cordoma01,2000,62,23,7,0,4,18.0,3.0,2.0,18,35.0,0.0,3.0,0.0,0.0,6.0,OF,0.245
17748,cordoma01,2001,122,61,20,2,20,69.0,0.0,3.0,23,81.0,0.0,8.0,0.0,2.0,9.0,OF,0.30073349633251834
17775,corkhpo01,1883,88,53,10,8,2,46.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,OF,0.216
17776,corkhpo01,1884,110,85,13,11,4,70.0,0.0,0.0,6,0.0,0.0,4.0,0.0,0.0,0.0,OF,0.2743362831858407
17777,corkhpo01,1885,112,64,10,8,1,53.0,0.0,0.0,7,0.0,0.0,7.0,0.0,0.0,0.0,OF,0.25227272727272726
17778,corkhpo01,1886,129,81,9,7,5,97.0,24.0,0.0,23,0.0,0.0,6.0,0.0,0.0,0.0,OF,0.26481481481481484
17779,corkhpo01,1887,128,79,19,11,5,97.0,30.0,0.0,14,10.0,0.0,4.0,0.0,0.0,0.0,OF,0.31053604436229204
17780,corkhpo01,1888,137,85,15,12,2,93.0,30.0,0.0,19,19.0,0.0,6.0,0.0,0.0,0.0,OF,0.28520499108734404
17781,corkhpo01,1889,138,91,21,9,8,78.0,22.0,0.0,42,24.0,0.0,3.0,0.0,0.0,0.0,OF,0.24953445065176907
17990,cottohe01,1984,105,24,5,0,0,8.0,9.0,3.0,10,23.0,2.0,1.0,3.0,0.0,1.0,OF,0.273972602739726
17993,cottohe01,1987,68,21,10,0,5,20.0,4.0,2.0,6,35.0,0.0,1.0,0.0,0.0,7.0,OF,0.2348993288590604
17994,cottohe01,1988,133,50,18,1,8,33.0,27.0,3.0,23,53.0,0.0,2.0,4.0,3.0,8.0,OF,0.25906735751295334
17995,cottohe01,1989,100,44,11,2,9,33.0,10.0,4.0,12,44.0,3.0,3.0,0.0,0.0,4.0,OF,0.26440677966101694
17996,cottohe01,1990,127,40,14,3,4,33.0,21.0,3.0,22,52.0,2.0,4.0,6.0,3.0,13.0,OF,0.2591549295774648
17997,cottohe01,1991,66,35,6,2,6,23.0,16.0,3.0,10,27.0,0.0,2.0,2.0,1.0,7.0,OF,0.3050847457627119
17998,cottohe01,1992,108,42,11,1,5,27.0,23.0,2.0,14,49.0,3.0,1.0,3.0,1.0,2.0,OF,0.2585034013605442
18024,coughbi01,1901,137,75,17,13,6,68.0,16.0,0.0,25,0.0,0.0,6.0,11.0,0.0,0.0,3B,0.274703557312253
18025,coughbi01,1902,123,84,27,4,6,71.0,29.0,0.0,26,0.0,0.0,8.0,3.0,0.0,0.0,3B,0.3006396588486141
